nombre,tipo_evento,mes_celebracion,dia_inicio,dia_fin,descripcion,recomendaciones_viaje,municipio_pcode
Feria Titular de San Pablo Jocopilas,Feria Patronal,8,20,23,"Feria titular y celebración anual del municipio de San Pablo Jocopilas, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1009
Feria Patronal de San Antonio Suchitepéquez (En honor a San Antonio de Padua),Feria Patronal,6,10,13,"Feria patronal del municipio de San Antonio Suchitepéquez, celebrada en honor a su santo patrono San Antonio de Padua. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1010
Feria Patronal de San Miguel Panán (En honor a San Miguel Arcángel),Feria Patronal,9,26,29,"Feria patronal del municipio de San Miguel Panán, celebrada en honor a su santo patrono San Miguel Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1011
Feria Patronal de San Gabriel (En honor a San Gabriel Arcángel),Feria Patronal,3,21,24,"Feria patronal del municipio de San Gabriel, celebrada en honor a su santo patrono San Gabriel Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1012
Feria Titular de Chicacao,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Chicacao, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1013
Feria Titular de Patulul,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Patulul, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1014
Feria Patronal de Santa Bárbara (En honor a Santa Bárbara),Feria Patronal,12,1,4,"Feria patronal del municipio de Santa Bárbara, celebrada en honor a su santo patrono Santa Bárbara. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1015
Feria Patronal de San Juan Bautista (En honor a San Juan Bautista),Feria Patronal,6,21,24,"Feria patronal del municipio de San Juan Bautista, celebrada en honor a su santo patrono San Juan Bautista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1016
Feria Patronal de Santo Tomás La Unión (En honor a Santo Tomás Apóstol),Feria Patronal,12,18,21,"Feria patronal del municipio de Santo Tomás La Unión, celebrada en honor a su santo patrono Santo Tomás Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1017
Feria Titular de Zunilito,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Zunilito, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1018
Feria Titular de Pueblo Nuevo,Feria Patronal,1,13,16,"Feria titular y celebración anual del municipio de Pueblo Nuevo, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1019
Feria Titular de Río Bravo,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Río Bravo, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1020
Feria Patronal de San José La Máquina (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José La Máquina, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1021
Feria Patronal de San Sebastián (En honor a San Sebastián Mártir),Feria Patronal,1,17,20,"Feria patronal del municipio de San Sebastián, celebrada en honor a su santo patrono San Sebastián Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Retalhuleu.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1102
Feria Patronal de Santa Cruz Muluá (En honor a La Santa Cruz),Feria Patronal,5,1,3,"Feria patronal del municipio de Santa Cruz Muluá, celebrada en honor a su santo patrono La Santa Cruz. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Retalhuleu.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1103
Feria Patronal de San Martín Zapotitlán (En honor a San Martín de Tours),Feria Patronal,11,8,11,"Feria patronal del municipio de San Martín Zapotitlán, celebrada en honor a su santo patrono San Martín de Tours. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Retalhuleu.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1104
Feria Patronal de San Felipe (En honor a San Felipe Apóstol),Feria Patronal,5,1,3,"Feria patronal del municipio de San Felipe, celebrada en honor a su santo patrono San Felipe Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Retalhuleu.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1105
Feria Patronal de San Andrés Villa Seca (En honor a San Andrés Apóstol),Feria Patronal,11,27,30,"Feria patronal del municipio de San Andrés Villa Seca, celebrada en honor a su santo patrono San Andrés Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Retalhuleu.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1106
Feria Titular de Champerico,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Champerico, departamento de Retalhuleu. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1107
Feria Patronal de Nuevo San Carlos (En honor a San Carlos Borromeo),Feria Patronal,11,1,4,"Feria patronal del municipio de Nuevo San Carlos, celebrada en honor a su santo patrono San Carlos Borromeo. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Retalhuleu.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1108
Feria Titular de El Asintal,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de El Asintal, departamento de Retalhuleu. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1109
Feria Patronal de San Antonio Sacatepéquez (En honor a San Antonio de Padua),Feria Patronal,6,10,13,"Feria patronal del municipio de San Antonio Sacatepéquez, celebrada en honor a su santo patrono San Antonio de Padua. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1203
Feria Titular de Comitancillo,Feria Patronal,1,13,16,"Feria titular y celebración anual del municipio de Comitancillo, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1204
Feria Patronal de San Miguel Ixtahuacán (En honor a San Miguel Arcángel),Feria Patronal,9,26,29,"Feria patronal del municipio de San Miguel Ixtahuacán, celebrada en honor a su santo patrono San Miguel Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1205
Feria Patronal de Concepción Tutuapa (En honor a Virgen de la Inmaculada Concepción),Feria Patronal,12,5,8,"Feria patronal del municipio de Concepción Tutuapa, celebrada en honor a su santo patrono Virgen de la Inmaculada Concepción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1206
Feria Titular de Tacaná,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Tacaná, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1207
Feria Titular de Sibinal,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Sibinal, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1208
Feria Titular de Tajumulco,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Tajumulco, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1209
Feria Titular de Tejutla,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Tejutla, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1210
Feria Patronal de San Rafael Pie de la Cuesta (En honor a San Rafael Arcángel),Feria Patronal,10,21,24,"Feria patronal del municipio de San Rafael Pie de la Cuesta, celebrada en honor a su santo patrono San Rafael Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1211
Feria Titular de Nuevo Progreso,Feria Patronal,3,15,18,"Feria titular y celebración anual del municipio de Nuevo Progreso, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1212
Feria Titular de El Tumbador,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de El Tumbador, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1213
Feria Titular de El Rodeo,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de El Rodeo, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1214
Feria Titular de Malacatán,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Malacatán, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1215
Feria Titular de Catarina,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Catarina, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1216
Feria Titular de Ayutla,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Ayutla, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1217
Feria Titular de Ocós,Feria Patronal,5,5,8,"Feria titular y celebración anual del municipio de Ocós, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1218
Feria Titular de San Pablo,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de San Pablo, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1219
Feria Titular de El Quetzal,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de El Quetzal, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1220
Feria Titular de La Reforma,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de La Reforma, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1221
Feria Titular de Pajapita,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Pajapita, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1222
Feria Titular de Ixchiguán,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Ixchiguán, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1223
Feria Patronal de San José Ojetenam (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José Ojetenam, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1224
Feria Patronal de San Cristóbal Cucho (En honor a San Cristóbal Mártir),Feria Patronal,7,27,30,"Feria patronal del municipio de San Cristóbal Cucho, celebrada en honor a su santo patrono San Cristóbal Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1225
Feria Titular de Sipacapa,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Sipacapa, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1226
Feria Titular de Esquipulas Palo Gordo,Feria Patronal,10,22,25,"Feria titular y celebración anual del municipio de Esquipulas Palo Gordo, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1227
Feria Titular de Río Blanco,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Río Blanco, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1228
Feria Patronal de San Lorenzo (En honor a San Lorenzo Mártir),Feria Patronal,8,7,10,"Feria patronal del municipio de San Lorenzo, celebrada en honor a su santo patrono San Lorenzo Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de San Marcos.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1229
Feria Titular de La Blanca,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de La Blanca, departamento de San Marcos. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1230
Feria Titular de Chiantla,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Chiantla, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1302
Feria Titular de Malacatancito,Feria Patronal,2,14,17,"Feria titular y celebración anual del municipio de Malacatancito, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1303
Feria Titular de Cuilco,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Cuilco, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1304
Feria Titular de Nentón,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Nentón, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1305
Feria Patronal de San Pedro Necta (En honor a San Pedro Apóstol),Feria Patronal,6,26,29,"Feria patronal del municipio de San Pedro Necta, celebrada en honor a su santo patrono San Pedro Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1306
Feria Titular de Jacaltenango,Feria Patronal,1,13,16,"Feria titular y celebración anual del municipio de Jacaltenango, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1307
Feria Titular de Soloma,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Soloma, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1308
Feria Titular de Ixtahuacán,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Ixtahuacán, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1309
Feria Patronal de Santa Bárbara (En honor a Santa Bárbara),Feria Patronal,12,1,4,"Feria patronal del municipio de Santa Bárbara, celebrada en honor a su santo patrono Santa Bárbara. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1310
Feria Titular de La Libertad,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de La Libertad, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1311
Feria Titular de La Democracia,Feria Patronal,2,14,17,"Feria titular y celebración anual del municipio de La Democracia, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1312
Feria Patronal de San Miguel Acatán (En honor a San Miguel Arcángel),Feria Patronal,9,26,29,"Feria patronal del municipio de San Miguel Acatán, celebrada en honor a su santo patrono San Miguel Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1313
Feria Patronal de San Rafael La Independencia (En honor a San Rafael Arcángel),Feria Patronal,10,21,24,"Feria patronal del municipio de San Rafael La Independencia, celebrada en honor a su santo patrono San Rafael Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1314
Feria Patronal de San Juan Atitán (En honor a San Juan Bautista),Feria Patronal,6,21,24,"Feria patronal del municipio de San Juan Atitán, celebrada en honor a su santo patrono San Juan Bautista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1316
Feria Patronal de Santa Eulalia (En honor a Santa Eulalia),Feria Patronal,2,9,12,"Feria patronal del municipio de Santa Eulalia, celebrada en honor a su santo patrono Santa Eulalia. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1317
Feria Patronal de San Mateo Ixtatán (En honor a San Mateo Apóstol),Feria Patronal,9,18,21,"Feria patronal del municipio de San Mateo Ixtatán, celebrada en honor a su santo patrono San Mateo Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1318
Feria Titular de Colotenango,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de Colotenango, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1319
Feria Patronal de San Sebastián Huehuetenango (En honor a San Sebastián Mártir),Feria Patronal,1,17,20,"Feria patronal del municipio de San Sebastián Huehuetenango, celebrada en honor a su santo patrono San Sebastián Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1320
Feria Titular de Tectitán,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Tectitán, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1321
Feria Patronal de Concepción Huista (En honor a Virgen de la Inmaculada Concepción),Feria Patronal,12,5,8,"Feria patronal del municipio de Concepción Huista, celebrada en honor a su santo patrono Virgen de la Inmaculada Concepción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1322
Feria Patronal de San Juan Ixcoy (En honor a San Juan Bautista),Feria Patronal,6,21,24,"Feria patronal del municipio de San Juan Ixcoy, celebrada en honor a su santo patrono San Juan Bautista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1323
Feria Patronal de San Antonio Huista (En honor a San Antonio de Padua),Feria Patronal,6,10,13,"Feria patronal del municipio de San Antonio Huista, celebrada en honor a su santo patrono San Antonio de Padua. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1324
Feria Patronal de San Sebastián Coatán (En honor a San Sebastián Mártir),Feria Patronal,1,17,20,"Feria patronal del municipio de San Sebastián Coatán, celebrada en honor a su santo patrono San Sebastián Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1325
Feria Titular de Barillas,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Barillas, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1326
Feria Titular de Aguacatán,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Aguacatán, departamento de Huehuetenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1327
Feria Patronal de San Rafael Petzal (En honor a San Rafael Arcángel),Feria Patronal,10,21,24,"Feria patronal del municipio de San Rafael Petzal, celebrada en honor a su santo patrono San Rafael Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1328
Feria Patronal de San Gaspar Ixchil (En honor a San Gaspar),Feria Patronal,1,3,6,"Feria patronal del municipio de San Gaspar Ixchil, celebrada en honor a su santo patrono San Gaspar. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1329
Feria Patronal de Santiago Chimaltenango (En honor a Santiago Apóstol),Feria Patronal,7,22,25,"Feria patronal del municipio de Santiago Chimaltenango, celebrada en honor a su santo patrono Santiago Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Huehuetenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1330
